Q06: 강사와 강의를 INNER JOIN으로 연결해 담당 강의를 확인한다.

instructor_name	title	category	starts_on
Mina Park	Python Starter Lab	Programming	2024-06-01
Joon Kim	Data Dashboard Basics	Data	2024-06-03
Sara Lee	Clear UX Microcopy	Writing	2024-06-05
Daniel Choi	HTML CSS Weekend	Web	2024-06-08
Hana Jung	Street Photo Walk	Creative	2024-06-10
Alex Moon	Confident Presentation	Career	2024-06-12
Yuri Han	Tablet Drawing Studio	Creative	2024-06-14
Chris Lim	Excel Macro Sprint	Productivity	2024-06-17
Somi Kwon	Personal Budget Clinic	Finance	2024-06-19
Eun Seo	Home Cooking Foundations	Lifestyle	2024-06-21
Daniel Choi	Intro to Community Gardening	Lifestyle	2024-06-24
